0:0:0:0:0:0:0:1 - - [28/Jun/2021:12:20:53 +0900] "GET /04.css_basic/img/00.jpg HTTP/1.1" 200 34469
0:0:0:0:0:0:0:1 - - [28/Jun/2021:12:20:53 +0900] "GET /04.css_basic/img/01.jpg HTTP/1.1" 200 148863
0:0:0:0:0:0:0:1 - - [28/Jun/2021:12:20:53 +0900] "GET /04.css_basic/img/02.jpg HTTP/1.1" 200 15193
0:0:0:0:0:0:0:1 - - [28/Jun/2021:12:20:53 +0900] "GET /04.css_basic/img/03.jpg HTTP/1.1" 200 26914
0:0:0:0:0:0:0:1 - - [28/Jun/2021:12:20:53 +0900] "GET /04.css_basic/img/05.jpg HTTP/1.1" 200 8229
0:0:0:0:0:0:0:1 - - [28/Jun/2021:12:20:53 +0900] "GET /04.css_basic/img/04.jpg HTTP/1.1" 200 14760
0:0:0:0:0:0:0:1 - - [28/Jun/2021:12:20:53 +0900] "GET /04.css_basic/img/06.jpg HTTP/1.1" 200 39366
0:0:0:0:0:0:0:1 - - [28/Jun/2021:12:20:53 +0900] "GET /04.css_basic/img/07.jpg HTTP/1.1" 200 27758
0:0:0:0:0:0:0:1 - - [28/Jun/2021:12:20:53 +0900] "GET /04.css_basic/img/08.jpg HTTP/1.1" 200 13315
0:0:0:0:0:0:0:1 - - [28/Jun/2021:12:20:53 +0900] "GET /04.css_basic/img/09.gif HTTP/1.1" 200 327243
0:0:0:0:0:0:0:1 - - [28/Jun/2021:12:20:53 +0900] "GET /04.css_basic/img/10.gif HTTP/1.1" 200 946696
0:0:0:0:0:0:0:1 - - [28/Jun/2021:12:20:53 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Jun/2021:12:20:53 +0900] "GET /04.css_basic/imageView.html HTTP/1.1" 200 680
0:0:0:0:0:0:0:1 - - [28/Jun/2021:12:20:54 +0900] "GET /04.css_basic/img/00.jpg HTTP/1.1" 200 34469
0:0:0:0:0:0:0:1 - - [28/Jun/2021:12:20:54 +0900] "GET /04.css_basic/img/01.jpg HTTP/1.1" 200 148863
0:0:0:0:0:0:0:1 - - [28/Jun/2021:12:20:54 +0900] "GET /04.css_basic/img/02.jpg HTTP/1.1" 200 15193
0:0:0:0:0:0:0:1 - - [28/Jun/2021:12:20:54 +0900] "GET /04.css_basic/img/03.jpg HTTP/1.1" 200 26914
0:0:0:0:0:0:0:1 - - [28/Jun/2021:12:20:54 +0900] "GET /04.css_basic/img/04.jpg HTTP/1.1" 200 14760
0:0:0:0:0:0:0:1 - - [28/Jun/2021:12:20:54 +0900] "GET /04.css_basic/img/05.jpg HTTP/1.1" 200 8229
0:0:0:0:0:0:0:1 - - [28/Jun/2021:12:20:54 +0900] "GET /04.css_basic/img/06.jpg HTTP/1.1" 200 39366
0:0:0:0:0:0:0:1 - - [28/Jun/2021:12:20:54 +0900] "GET /04.css_basic/img/08.jpg HTTP/1.1" 200 13315
0:0:0:0:0:0:0:1 - - [28/Jun/2021:12:20:54 +0900] "GET /04.css_basic/img/07.jpg HTTP/1.1" 200 27758
0:0:0:0:0:0:0:1 - - [28/Jun/2021:12:20:54 +0900] "GET /04.css_basic/img/09.gif HTTP/1.1" 200 327243
0:0:0:0:0:0:0:1 - - [28/Jun/2021:12:20:54 +0900] "GET /04.css_basic/img/10.gif HTTP/1.1" 200 946696
0:0:0:0:0:0:0:1 - - [28/Jun/2021:12:20:54 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Jun/2021:12:20:54 +0900] "GET /04.css_basic/imageView.html HTTP/1.1" 200 680
0:0:0:0:0:0:0:1 - - [28/Jun/2021:12:20:54 +0900] "GET /04.css_basic/img/01.jpg HTTP/1.1" 200 148863
